en	kr
Dataset Construction and Deep Learning Models for Cross-Modal Retrieval for Text-Color Image in SNS	SNS에서 텍스트-칼라영상의 교차양식 검색을 위한 데이터셋 구축과 딥러닝 모델
Disturbance Observer using Machine Learning Algorithms	머신 러닝을 이용한 외란 관측기 구현
Stereo Vision Based 3D Input Device	스테레오 비전을 기반으로 한 3차원 입력 장치
CORAL Transfer Learning for Deep Learning-Based Virtual Metrology Modeling	상관관계 정렬 전이학습을 통한 딥러닝 기반 가상계측 모델링
Design Research of Blockchain, Machine Learning for the management of financing fund	융자성 기금관리를 위한 블록체인, 머신러닝 설계 연구
Implementation of Hardware Data Prefetching Technique Using Machine Learning Technique	머신러닝 기법을 적용한 하드웨어 데이터 프리페치 기법 구현
Diabetes is a chronic disease that causes serious complications, and at the medical site, doctors predict future changes in blood glucose based on patients past blood glucose trends and implement medical treatment.	당뇨병은 심각한 합병증을 유발하는 만성 질환으로 의료 현장에서는 의사가 환자의 과거 혈당 추이를 참고하여 향후 혈당의 변동을 예측하고 진료를 시행하고 있다.
Mid-Term Energy Demand Forecasting Using Conditional Restricted Boltzmann Machine	조건적 제한된 볼츠만머신을 이용한 중기 전력 수요 예측
Accurate and timely forecasting is an essential step for the successful deployment of smart cities.	정확하고 시기 적절한 예측은 스마트시티의 성공적인 추진을 위한 중요한 단계이다.
Pedestrian Classification using CNN's Deep Features and Transfer Learning	CNN의 깊은 특징과 전이학습을 사용한 보행자 분류
Adaptive Segmentation Approach to Extraction of Road and Sky Regions	도로와 하늘 영역 추출을 위한 적응적 분할 방법
VOV filter based data augmentation method is executed to supplement the insufficient data additionally.	VOV 필터 기반의 데이터 재생성 방법을 실행하여 부족한 데이터를 추가로 보완한다.
Force Arrow: An Efficient Pseudo-Weight Perception Method	몰입 가상 현실 환경에서 효율적인 가상 무게감을 제공해 주기 위한 방법
The proposed method uses an extended LSTM autoencoder model.	본 논문에서 제안하는 방법은 확장된 LSTM 오토인코더 모델을 사용한다.
Implementation and Analysis of Power Analysis Attack Using Multi-Layer Perceptron Method	Multi-Layer Perceptron 기법을 이용한 전력 분석 공격 구현 및 분석
A Study of Rotating Invariant Pedestrian Detection Using CNN-based MI-FL	CNN 기반 MI-FL을 이용한 회전 불변의 보행자 검출에 관한 연구
The proposed method detects hand contour from stereo images acquisitioned by smart glasses using depth information and color information, constructs data sets to learn CNN, and then recognizes gestures from input hand contour images.	제시된 기법은 스마트 글래스로 획득한 스테레오 비디오로부터 구한 깊이(depth) 정보와 색 정보를 이용하여 손 윤곽선을 검출하고, 검출된 손 윤곽선 영상을 데이터 셋으로 구성하여 CNN을 학습한 후, 이를 바탕으로 입력 손 윤곽선 영상의 제스처를 인식한다.
Power demand prediction is used to detect anomalies such as machine malfunction and power off when the measured power amount deviates from the predicted power amount by a certain range in the industrial sector.	산업 분야에서 전력수요 예측은 예측 전력량보다 실측 전력량이 일정 범위에서 벗어나면 이상 징후로 판별하여 기계 오작동, 전원 꺼짐 등의 이상 현상을 탐지하는데 활용되기도 한다.
In this paper, a method to judge internal data leakage risk classification is proposed by applying various deep learning models.	본 논문에서는 다양한 심층 학습 모델을 적용하여 내부 데이터 유출 위험 분류를 판단하는 방법을 제안한다.
A Detection of Overshooting Tops over extended East Asia based on Himawari-8 IR channels using machine learning methods	Himawari-8 AHI 센서를 활용한 기계학습 기반 동아시아 지역 성층권 침투 대류운 탐지
Binocular image preprocessing system for neural pattern recognition	신경망 시각인식을 위한 양안영상 전처리 시스템 구현
In this paper, we propose a model that classifies normal users and game bots by applying a Multi-Layer Perceptron(MLP) with user action log as input, and infers the basis of judgment by quantifying the degree to which each action affects the classification.	본 논문에서는 사용자 행위 로그를 입력으로 하는 다층 퍼셉트론(Multi Layer Perceptron)을 적용하여 정상 사용자와 게임 봇을 분류하고, 각 행위가 분류에 영향을 끼친 정도를 수치화하여 판단 근거를 추론하는 모델을 제안한다.
Implementation of Im2col based CNN Accelerator on FPGA	Im2col 기반 컨볼루션 신경망 가속기의 FPGA 구현
A Study on the Applicability of Machine Learning for the Discrimination of Strawberry Maturity	딸기 숙도 판별을 위한 머신러닝 적용 가능성 연구
A Study on Extraction of Skin Region and Lip Using Skin Color of Eye Zone	눈 주위의 피부색을 이용한 피부영역검출과 입술검출에 관한 연구
A Study on a Korean Document Reading System	한글 문서인식 시스템에 관한 연구
Also, we introduce a fast measurement algorithm based on the rectangle metric for the quantitative evaluation of the grasping point detection technique.	또한, 우리는 파지점 탐색 기술의 정량적 평가를 위해 직사각형 메트릭을 기반으로 한 빠른 측정 알고리듬을 소개한다.
Performance Comparison Between DNN and LSTM RNN-based Acoustic Model	DNN 및 LSTM RNN 기반 음향모델의 성능 비교
A Study on Anonymization Technique Using Decision Tree Based Machine Learning	결정트리 기반의 기계학습을 이용한 익명화기법 연구
We perform the mobility mode classification experiment using the actual user trajectory data.	실제 사용자 궤적 데이터를 사용하여 이동 모드 분류 실험을 수행한다.
Research on Hyperparameter of RNN for Seismic Response Prediction of a Structure With Vibration Control System	진동 제어 장치를 포함한 구조물의 지진 응답 예측을 위한 순환신경망의 하이퍼파라미터 연구
Additionally, a convolutional LSTM(ConvLSTM) model is developed for predicting fine dust flow based on traffic data.	또한 교통데이터 기반 미세먼지 흐름을 예측하기위한 컨볼루션 ConvLSTM(Convolutional LSTM) 모델을 개발하였다.
On the Interpolation Using Neural Network	신경회로망을 이용한 내삽법에 관하여
Implementation of Inspection System for Vehicle Engine Harness using Vision Recognition	비전인식을 이용한 자동차 엔진배선 검사 시스템 구현
Logically, it is a binary operation algorithm using the XNOR and comparator.	논리적으로는 XNOR 연산과 비교기로 구성되는 이진 연산 알고리즘이다.
Our final presentation shows its efficacy to be 8.05%p higher than baseline NERs with only the pre-trained word embedding vector.	최종 단어 표상 확장 결과 사전 학습된 단어 임베딩 벡터만 사용한 것 보다 8.05%p의 성능 향상을 보였다.
PID Control Method using Modified Neural Network	변형된 신경회로망을 이용한 PID 제어 방식
A New Vessel Path Prediction Method using Long Short-term Memory	장단기 메모리를 이용한 새로운 선박 이동 경로 예측 방법
Robust Gait Recognition for Directional Variation Using Canonical View Synthesis	고유시점 재구성을 이용한 방향 변화에 강인한 게이트 인식
Recognition of Passports using Enhanced Neural Networks and Photo Authentication	개선된 신경망과 사진 인증을 이용한 여권 인식
First of all, AGV with 2D LiDAR and stereo camera was prepared.	먼저 2D LiDAR 및 스테레오 카메라가 장착된 AGV를 준비하였다.
In addition, in order to emphasize the recent time series, a custom weighted loss function is adopted.	그리고 최근의 시계열의 데이터를 강조하기 위해 커스텀 가중치 손실 함수가 채택되었다.
Design and Implementation of Routing System Using Artificial Neural Network	정적 변위를 이용한 신경망의 구조물 손상추정
Quality Quantization of Tabacco Leaves Using Computer Vision and NIR	컬러 컴퓨터 시각 및 NIR을 이용한 등급별 잎담배의 품질 정량화
Performance of Korean spontaneous speech recognizers based on an extended phone set derived from acoustic data	음향 데이터로부터 얻은 확장된 음소 단위를 이용한 한국어 자유발화 음성인식기의 성능
Improved Correction of Drifter Data Using Deep Neural Networks	딥러닝을 이용한 뜰개 관측 데이터의 개선된 보정
Especially, LSTM has been tried to apply to stock price prediction because of its compatibility for time series data.	이 중 LSTM은 시계열 데이터에 대한 검증된 모델로서 주가 예측에도 적용되고 있다.
As a result, it shows better performance when using Boolean space than using existing deep running algorithms such as LSTM.	결과적으로 LSTM과 같은 기존의 딥러닝 알고리즘을 사용했을 때보다부울 공간을 사용했을 때 성능이 우수함을 보인다.
A Study of 3D Point Cloud Classification of Urban Structures Based on Spherical Signature Descriptor Using LiDAR Sensor Data	라이다 센서 데이터를 이용한 구형 특징 표현 기반의 도시 구조물 3차원 점 군 분류에 관한 연구
Keyphrase Extraction Using Active Learning and Clustering	Active Learning과 군집화를 이용한 고정키어구 추출
Factory power usage prediciton model using LSTM based on factory power usage data	공장전력 사용량 데이터 기반 LSTM을 이용한 공장전력 사용량 예측모델
Also, this paper used monthly electricity transactions for mount and money, final energy consumption, and diesel fuel prices for vehicle provided by the National Statistical Office, from 2001 to 2017.	본 논문에서는 통계청에서 제공하는 월별 전력 거래량과 월별 전력 거래금액, 최종에너지 소비량, 자동차용 경유 가격에 대한 2001~2017년까지의 공공 데이터를 사용하였다.
Especially techniques for separating objects and backgrounds in an image have been developed, they can be used as a way to overcome the shortcomings of technologies used for object segmentation.	특히 이미지에서 객체와 배경을 분리하는 기법들이 발달됨에 따라서 객체 분할로 사용되던 기술들이 가지고 있던 단점들을 극복할 수 있는 방안으로 활용이 가능하다.
Breast cancer histopathological image classification using Support Vector Machine	Support Vector Machine을 사용한 유방암 조직병리학적 이미지 분류
Contrast based Color Conversion Method for Emotion Maintenance of Color Vision Deficiency	색각 이상자들의 감성 유지를 위한 대비기반 색변환 방법
Classification of Deposited Snow on the Ground based on Recurrent Neural Network	인공지능 기반 슬로프 설면 특성 분류기
An Improved Pixel-Based Adaptive Background Segmenter for Visual Surveillance System	개선된 적응적 픽셀기반 배경 분할을 이용한 영상 감시 시스템
Localization of Unmanned Ground Vehicle using 3D Registration of DSM and Multiview Range Images : Application in Virtual Environment	DSM과 다시점 거리영상의 3차원 등록을 이용한 무인이동차량의 위치 추정: 가상환경에서의 적용
Pronunciation learning system development for hearing-impaired person using computer vision	청각장애인을 위한 컴퓨터 비전을 이용한 발음 학습 시스템 개발
A shop recommendation learning with Tensorflow.js	Tensorflow.js를 활용한 상점 추천 학습
Learning method of a Neural Network using Genetic Algorithm for 3 Bit Parity Discrimination	패리티 판별을 위한 유전자 알고리즘을 사용한신경회로망의 학습법
The proposed algorithm was compared with the algorithm using wiener filter to identify color printing source.	제안 한 알고리즘의 성능을 분석하기 위하여 위변조 지폐의 판별률과 인쇄에 사용한 프린터의 판별률로 나누어 평가를 하였다.
A Securities Company’s Customer Churn Prediction Model and Causal Inference with SHAP Value	증권 금융 상품 거래 고객의 이탈 예측 및 원인 추론
The method of retrieving the words contained in the query in the existing database and recognizing the object based on the index does not identify the homophone and the word phrases because it does not consider the context of the user’s query.	기존의 데이터베이스에서 질의에 포함된 단어를 검색하여 개체명을 인식하는 방식은 동음이의어와 문장성분 구를 문맥을 고려하여 식별하지 못한다.
Comparative Application of Various Machine Learning Techniques for Lithology Predictions	다양한 기계학습 기법의 암상예측 적용성 비교 분석
The Role of Domain Knowledge in Deep Learning-Based Natural Language Processing	딥러닝 기반 자연어 처리에서 도메인 지식의 역할
Recognition of Hangul Characters Including Noise Margin	잡상 성분을 포함한 한글문자 인식
Feature extraction and classification of EEG signals is an important part that affects the reliability of the BCI applications.	EEG 신호의 특징추출과 분류는 BCI 응용 분야의 신뢰도에 영향을 미치는 중요한 부분이다.
A Proposal of LSTM-based Recurrent Neural Network Model to Predict per-Service Network Resources in Data Center	LSTM 기반 순환신경망을 활용한 데이터 센터 내 서비스 별 네트워크 자원 예측 모델 제안
A Study on 3D Modeling Automation of Buildings	건축물의 3D 모델링 자동화에 관한 연구
Patent data analysis using clique analysis in a keyword network	키워드 네트워크의 클릭 분석을 이용한 특허 데이터 분석
A Study on Improved Comments Generation Using Transformer	트랜스포머를 이용한 향상된 댓글 생성에 관한 연구
Text Classification via Sentence-level Graph Convolutional Networks	문장 레벨 그래프 회선 신경망을 통한 텍스트 분류
The findings will helpoptimize SNN-based neural networks used in each field.	해당 연구 결과를 통해 각 분야에서 사용되는 SNN 기반의 신경망을 최적화 할 수 있을 것이다.
However, although it was designed by human, the current artificial intelligence solution can be said to be very closed to "black box" as it is difficult to look into its internal decision making process.	하지만 그것이 사람에 의해 설계되었음에도 불구하고, 지금까지의 인공지능은 어떤 근거로 이 판단에 이르렀는지 논리적으로 설명할 수 없는 점에서 ‘블랙박스’로 취급되었다.
Implementation of Face Recognition Pipeline Model using Caffe	Caffe를 이용한 얼굴 인식 파이프라인 모델 구현
An Analysis of Deep Learning Workload Using Code Instrumentation	Code Instrumentation를 이용한 딥러닝 워크로드 분석
Recently, as the autonomous driving technology is developed based on the artificial intelligence, the study on the object detection is being actively conducted.	최근 인공지능 기반으로 자율 주행 기술이 발달함에 따라 객체 검출 기법에 대한 연구가 활발히 진행되고 있다.
Deep Learning Motor Failure Diagnosis System Considering Small IoT Devices	소형 IoT 디바이스를 고려한 딥 러닝 전동기 고장진단 시스템
Interaction between human and robot is important because robots exist for the convenience of people.	로봇은 사람의 편의를 위해 존재하므로 사람과 로봇의 상호작용은 중요하다.
Effects of Different Types of Concept Map on Collaborative Knowledge Construction in Computer-Supported Collaborative Learning : Focusing on Cognitive information processing	CSCL에서 개념도 유형이 협력적 지식 구축에 미치는 영향 : 인지적 정보 처리 중심으로
In this case, it is necessary to reconstruct the damaged area through contextual information of surrounding images.	이와 같은 경우는 주변의 영상의 문맥적 정보를 통해 손상된 영역을 추론을 통한 복원이 필요하다.
A Deep Learning-based Streetscapes Safety Score Prediction Model using Environmental Context from Big Data	빅데이터로부터 추출된 주변 환경 컨텍스트를 반영한 딥러닝 기반 거리 안전도 점수 예측 모델
Estimating Software Development Cost using Support Vector Regression	Support Vector Regression을 이용한 소프트웨어 개발비 예측
An increase of particulate matter(PM) concentration in the atmosphere and interest about the harmful effects of PM on the human body are attracting more attention.	대기중 미세먼지 농도 증가와 미세먼지가 인체에 끼치는 해로움에 대한 관심이 증가했다.
Deep Transfer Learning Between Heterogeneous Data for Automatic Target Recognition	자동 표적 인식을 위한 이종 데이터 간 심층 전이 학습
Prediction of watermelon sweetness using a reflected sound	반향 소리를 이용한 기계 학습 기반 수박의 당도 예측
This study investigates a CNN technique for quick determination of rock quality classification depending on the condition of tunnel face, and presents the procedure for rock quality classification using a deep learning technique and the improved method for accurate prediction.	본 연구는 터널 면의 상태에 따라 암석 품질 분류를 신속하게 결정하기 위한 CNN 기술을 조사하고, 딥 러닝 기법을 사용한 암석 품질 분류 절차와 정확한 예측을 위한 개선된 방법을 제시한다.
Feasibility of Deep Learning Algorithms for Binary Classification Problems	이진 분류문제에서의 딥러닝 알고리즘의 활용 가능성 평가
A Sleep-driving Accident Prevention System based on EEG analysis using Deep-learning Algorithm	딥 러닝 알고리즘을 활용한 뇌파 분석 기반 졸음운전 사고예방 시스템
CNN-based Grasping Box Detection	CNN 기반 물체 파지를 위한 위치 탐색
Flying Cake: An Augmented Game on Mobile Device	Flying Cake: 모바일 단말기를 이용한 실감형 게임
An Improvement The Accuracy of POS Tagging for Korean Using CNN-LSTM	CNN과 LSTM을 이용한 한국어 형태소 분석 및 품사 결정의 정확도 향상
A Method for Determining Face Recognition Suitability of Face Image	얼굴영상의 얼굴인식 적합성 판정 방법
Real-time scheduling using CNN on a parallel machine with setup cost	셋업 코스트가 있는 병렬 기계에서 CNN을 활용한 실시간 일정계획
Modified Error Back Propagation Algorithm using the Approximating of the Hidden Nodes in Multi - Layer Perceptron	다층퍼셉트론의 은닉노드 근사화를 이용한 개선된 오류역전파 학습
The Smart Grid predicts the power generation amount of renewable energy and enables efficient power generation and consumption.	스마트그리드는 신·재생에너지의 발전량을 예측하고 효율적인 전력 생산과 소비를 가능하게 한다.
Application of Color Constancy Concepts to Automated Visual Inspection Systems	시각 검색 자동화 시스템에서의 색채 항상성(恒常性) 개념의 응용
Detection of UI element-pairs using faster R-CNN and linear classification model	딥러닝과 선형분류모델을 활용한 UI 요소쌍 탐지방법
Faster R-CNN Classifier Structure Design for Detecting Weld Surface Defects	용접 표면결함 검출을 위한 Faster R-CNN 분류기 구조 설계
Stock Price Prediction Using Sentiment Analysis: from “Stock Discussion Room” in Naver	SNS감성 분석을 이용한 주가 방향성 예측: 네이버 주식토론방 데이터를 이용하여
However assistance index is necessary to examine whether it is suitable as prediction factors because it is subjective viewpoint of researcher.	그러나 보조지표는 분석가의 주관적인 관점이기 때문에, 예측요소에 대한 적합여부에 대한 검토가 필요하다.
The average RMSE of the entire dataset was 0.2597 for LSTM and 0.5474 for DNN, indicating that the LSTM showed a good prediction rate.	전체 데이터 셋의 평균 RMSE는 LSTM이 0.2597이며, DNN이 0.5474로 LSTM이 우수한 예측율을 보였다.
Backbone Network for Object Detection with Multiple Dilated Convolutions and Feature Summation	배수 팽창된 컨볼루션과 특징합계를 이용한 객체 검출 백본 네트워크
Analysis on the Memory Access Impact of CNN on Mobile Devices	모바일 장치에서 캐시 및 메모리 접근이 CNN 성능에 미치는 영향 분석
Coreference Resolution using Multi-resolution Pointer Networks	Multi-resolution 포인터 네트워크를 이용한 상호참조해결
The CNN was trained with 618 images of cracks and 1834 original images of intact specimen #1.	시험편 #1의 균열 이미지 618개와 정상 이미지 1834개로 CNN을 훈련시켰다.
A study on Weld Quality Monitoring Using Deep Learning(CNN) in Ultrasonic Welding on Secondary cell	딥 러닝을 이용한 2차 전지의 초음파 용접 품질 모니터링에 관한 연구
3D CNN-Based Segmentation of Prostate MR images	3D CNN 기반 전립선 MRI 영상 분할 기술
CNN-based People Recognition for Vision Occupancy Sensors	비전 점유센서를 위한 합성곱 신경망 기반 사람 인식
An experiment of classifying 103 test fundus images with the proposed classification system showed 98% accuracy.	제안된 분류 시스템으로 103개의 테스트 안저 영상을 분류하는 실험은 98%의 정확도를 보여주었다.
Video Motion Analysis for Sudden Death Detection During Sleeping	수면 중 돌연사 감지를 위한 비디오 모션 분석 방법
Research on Development of Self-diagnostic Algorithm for 6-axis Articulated Arc Welding Robot	6축 다관절 아크용접 로봇의 고장진단 알고리즘 개발에 관한 연구
People Detection Algorithm in Dynamic Background	동적인 배경에서의 사람 검출 알고리즘
Support Vector Regression based on Immune Algorithm for Software Cost Estimation	소프트웨어 비용산정을 위한 면역 알고리즘 기반의 서포트 벡터 회귀
The ability to detect online abnormal events in signals is essential in many real-world signal processing applications.	신호처리 관련 응용문제에서는 신호에서 실시간으로 발생하는 비정상적인 사건들을 탐지하는 것이 매우 중요하다.
Because Battle situation is unpredictable and there are various possibilities generating potential events, the damage or loss of data can make confuse decision making.	그러나 전장상황은 예측 불허하고 다양한 변수가 일어날 가능성이 높으므로 이러한 데이터들의 변질 및 유실은 위협평가를 통한 의사결정에 혼란을 더할 수 있다.
In recent years, there have been a lot of researches using machine learning techniques including deep learning.	최근 들어서는 딥러닝을 비롯해 머신러닝 기법을 적용하는 형태의 연구가 많이 진행되는 추세다.
Thus, the accuracy of real estate market forecasts can be expected to improve with the use of machine learning methods.	향후 머신 러닝 방법을 활용함으로써 부동산 시장에 대한 예측의 정확성이 향상 될 것으로 기대된다.
A Study on Predicting a Location of Tweet Data Using Machine Learning	머신 러닝을 이용한 트윗 데이터의 위치 추정 연구
Design o f Fuzzv-Neural N etw oik Controller for B L D C Motor	BLDC 모터를 위한 퍼지 뉴럴 네트워크 제어기 설계
This task in Korean is challenging, due to morphophonological alternations, deletions and contractions.	한국어에서 이 과정은 형태음소적 교체, 탈락, 축약 때문에 쉽지 않다.
A Study of Interactive Art Construction Tool based on Computer Vision Techniques	컴퓨터 비젼 기술 기반의 인터랙티브 아트 제작 툴에 관한 연구
The proposed prediction system can predict sentiment appropriately according to the situation by avoiding the error of judging negative due to the use of sad words in sad movies and scary words in horror movies.	제안한 예측시스템은 슬픈 영화에서 슬픈 단어의 사용과 공포 영화에서 무서운 단어 등의 사용으로 인해 부정으로 판단하는 오류를 피함으로써, 감성을 상황에 따라 적절하게 예측할 수 있다.
Deep CNN-based Person Identification using Facial and Clothing Features	얼굴과 의복 정보를 활용한 딥러닝 기반 신원인식
Pose Estimation by Combining IMU Sensor and Vision Sensor	관성센서와 비젼센서를 이용한 자세추정
Data Mining for the k-Nearest Neighbors Classification Algorithm Based on a Machine Learning	머신러닝 기반 최근접 이웃 분류 알고리즘을 이용한 데이터 마이닝
Thus, this study was conducted to identify potential forearm muscles from which to collect sEMG signals for Korean finger number gestures.	따라서, 이 연구는 한국의 손가락 숫자 제스처에 대한 sEMG 신호를 수집하기 위한 아래 팔 근육을 식별하기 위해 수행되었다.
A Study on Agricultural Price Prediction System based on Deep Learning	딥러닝 기반의 농산물 가격 예측 시스템에 대한 연구
To design complex-valued SVM, we consider slack variables of real and complex axis, and use the KKT (Karush-Kuhn-Tucker) conditions for complex data.	복소수 SVM을 설계하기 위해 최적화 조건 적용 시 실수축과 허수축에 대한 슬랙변수를 고려하였고, 복소수 데이터에 대한 KKT(Karush-Kuhn-Tucker) 조건을 이용하였다.
Analysis and Optimization of CNN-based Super-resolution	컨볼루션 신경망 기반 초해상도 이미지 복원에 대한 분석 및 최적화
A Study on Whether Collecting and Using Other People’s Copyrighted Works for the Purpose of Text and Data Mining falls under the Copyright Limitations : Focusing on the use of big data in artificial intelligence	텍스트 및 데이터 마이닝을 목적으로 하는 타인의 저작물의 수집·이용과 저작재산권의 제한 - 인공지능의 빅데이터 활용을 중심으로 -
Automatic gasometer reading system using selective optical character recognition	관심 문자열 인식 기술을 이용한 가스계량기 자동 검침 시스템
Gaze Detection by Computing Facial and Eye Movement	얼굴 및 눈동자 움직임에 의한 시선 위치 추적
Residential Energy Consumption Prediction using CNN-LSTM Neural Network based on Particle Swarm Optimization	Particle Swarm Optimization 기반 CNN-LSTM 신경망을 이용한 주거용 에너지 소비 예측
The Study on the Influential Factors on Commercial Gentrification in Seoul	서울시 상업젠트리피케이션 영향요인에 관한 연구
We also used a neural network to build an efficient energy usage model for Google's data center optimization.	또한 구글의 데이터 센터 최적화를 위해서 효율적인 에너지 사용 모델 구축을 위해 신경망을 활용하였다.
Therefore, in this study, we improved the performance of the answer extraction by adding the features generated by dependency parsing analysis to the inputs of the answer extraction model (Bidirectional LSTM-CRF).	따라서 본 연구에서는 의존성 구문 분석 분석에 의해 생성된 기능을 정답 추출 모델(양방향 LSTM-CRF)의 입력에 추가하여 정답 추출의 성능을 향상시켰다.
Through the impact analysis of hyper-parameters on the classification performance, the use of both spatial and temporal features greatly reduced misclassification patterns of crops and the proposed hybrid model showed the best classification accuracy, compared to the conventional deep learning models that considered either spatial features or temporal features.	하이퍼 파라미터의 영향 분석을 통해, 시공간 특징을 이용함으로써 작물의 오분류 양상을 현저히 줄일 수 있었으며, 제안 모델이 공간 특징이나 시간 특징만을 고려하는 기존 딥러닝 모델에 비해 가장 우수한 분류 정확도를 나타냈다.
 Segmentation position selection by the selection function of which the weights of parameters are determined through genetic learning, which selects safe segmentation positions with enhancing the analysis efficiency as much as possible.	여러 개의 분할 가능 위치 중에서 안전한 분할을 보장하고 보다 많은 분석의 효율 향상을 얻을 수 있는 최적의 분할 위치를 학습을 통해 선택. 
A Comparative Performance Analysis of Spark-Based Distributed Deep-Learning Frameworks	스파크 기반 딥 러닝 분산 프레임워크 성능 비교 분석
Accuracy Improvement of Reaching-Prediction BCIs Using LSTM Algorithm	LSTM 알고리즘을 이용한 팔 움직임 예측 BCI 정확도 향상
As a result, the matrix, the limit of functions, the differentials of functions, harmonic averages and sampling helped students understand the basic knowledge of artificial intelligence.	그 결과, 고등학교 교육과정의 행렬, 함수의 극한, 함수의 미분, 조화평균, 표본 추출은 학생들이 인공지능에 대한 기초 지식을 이해하는 데 도움을 주었다.
As a result, Faster R-CNN achieved mAP of 87.4%(detection) and a mean accuracy of 85.4%(classification).	실험 결과, Faster R-CNN은 87.4%(검출)의 mAP와 85.4%(분류)의 평균 정확도를 달성했다.
In particular, IT facilities are irregular due to interdependence and it is difficult to know the cause.	특히, IT 시설은 상호의존성에 의해 불규칙하고 원인을 알기 어렵다.
As a result of the research analysis, it was found that there were significant differences in the characteristics of administrative tasks by supervised and unsupervised learning areas. 	그 결과, 지도학습 및 비지도학습 업무유형의 특성에서 유의미한 차이가 있는 것으로 나타났다. 
Therefore, it is expected that the proposed scheme can be used as deep Learning-based transfer learning technology, which achieves similar or higher accuracy compared to the existing technology.	따라서 제안한 기술은 기존 기술 대비 그 성능이 유사하거나 높은 정확도를 얻으면서 빠른 학습을 수행하는 딥러닝 기반의 전이학습 기술로 활용할 수 있을 것으로 기대된다.
Vehicle path prediction based on V2X communication using RNN	순환신경망을 이용한 V2X 통신 기반의 차량 예측
Performance Analysis of Feature Elements for Shadow Detection in Computer Vision Platforms based on RGB Colour Model	RGB 칼라 모델 기반의 컴퓨터 비전 플랫폼에서 그림자 검출을 위한 특징 요소들의 성능 분석
The Camera Tracking of Real-Time Moving Object on UAV Using the Color Information	컬러 정보를 이용한 무인항공기에서 실시간 이동 객체의 카메라 추적
Realtime Perspective Motion Tracking using Hager-Belhumeur Inverse Additive Algorithm	Hager-Belhumeur 알고리즘의 실시간 원근투영 영역 추적기로의 확장
In rule-based NLP, likewise, the linguistic knowledge played an important role.	규칙 기반 자연어처리에서도 언어학적 지식이 중요한 역할을 담당했다.
A Performance Experiment of GPU Accelerated SURF for Real Time Vision Applications	실시간 비전 응용을 위한 GPU 가속을 이용한 SURF의 성능 실험
Battery-loaded power management algorithm of electric propulsion ship based on power load and state learning model	전력 부하와 학습모델 기반의 전기추진선박의 배터리 연동 전력관리 알고리즘
The VGG16 model developed by tens of thousands prestudied images was used for deep learning, and 1,43769 tunnel face images were used to classify the five types of rock quality condition.	딥 러닝에는 수만 개의 사전 학습된 이미지으로 개발된 VGG16 모델이 사용되었으며, 5가지 유형의 암질 조건을 분류하기 위해 1,43769개의 터널 얼굴 이미지가 사용되었다.
LSTM models have resolved the problem of forecasting very well using variable sequence data, and are still widely used.	LSTM 모델은 가변적인 Sequence data를 활용하여 예측하는 문제를 굉장히 잘 해결했고, 지금도 널리 사용되고 있다.
Second, we select words additionally that are similar to the words that have a low level of information gain values and make word embedding.	둘째, 우리는 정보 이득 값이 낮은 단어와 유사한 단어를 추가로 선택하고 단어 임베딩을 만든다.
A Study on the Prediction of Land Price with Machine Learning Technique	머신러닝 기법을 적용한 지가 예측 연구
Development of Computer Vision System for Individual Recognition and Feature Information of Cow(Ⅰ)	젖소의 개체인식 및 형상 정보화를 위한 컴퓨터 시각시스템 개발(Ⅰ)
Development of Pipe Fault Inspection System using Computer Vision	컴퓨터 비젼을 이용한 파이프 불량 검사시스템 개발
In this study, we propose "CNN model of Heterogeneous Information Integration" using CNN as a way to improve the predictive power of customer behavior in online shopping enterprises.	이에 본 연구에서는 전자상거래 기업의 고객 행태 예측력을 높이기 위한 방안으로 합성곱 신경망을 활용한 ‘이종 정보 결합(Heterogeneous Information Integration)의 CNN 모델’을 제시한다.
Improvement of Active Shape Model for Detecting Face Features in iOS Platform	iOS 플랫폼에서 Active Shape Model 개선을 통한 얼굴 특징 검출
To solve this problem, we propose an DANN to solve the problem by limiting input and output values ​​of real space to Boolean space.	이 문제를 해결하기 위해, 본 논문에서는 실수 공간의 입력값과 출력값을 부울 공간으로 한정시킴으로써 문제를 해결하려는 Discrete Arithmetic Neural Networks(DANN)라는 알고리즘을 제시한다.
Design and Implementation of an Automatic Scoring Model Using a Voting Method for Descriptive Answers	투표 기반 서술형 주관식 답안 자동 채점 모델의 설계 및 구현
In this paper, we implement stock price prediction using LSTM. In modeling of LSTM, we propose a fitness combination of model parameters and activation functions for best performance.	본 논문에서는 주가 예측 모델로서 LSTM을 적용할 때 성능향상을 위해 고려해야 할 복잡한 매개변수 설정과 적용 함수들에 대해 적합한 조합 방법을 제안하도록 한다.
A Study on the Heart Sound Pattern Recognition using Wavelet Transform and Back Propagation Algorithm	인공신경망 기법과 굴진면 관찰자료를 활용한 터널 역해석 연구
Image Mosaicking Using Feature Points Based on Color-invariant	칼라 불변 기반의 특징점을 이용한 영상 모자이킹
SIFT Image Feature Extraction based on Deep Learning	딥 러닝 기반의 SIFT 이미지 특징 추출
This article presents machine learning based approach on Big data to analyzing time series data for anomaly detection in such industrial complex system.	이 논문에서는 이러한 산업 단지 시스템에서의 비정상적인 동작이 일어날 때, 시간 계열의 데이터를 분석하기 위하여 빅 데이터를 이용한 접근을 기반으로 하는 머신러닝을 보여줍니다.
